age,start,rating,weight,first,podium,place
8,6,64,57,1,1,1
5,8,62,57,0,1,2
3,4,61,57,0,1,3
6,11,53,55,0,0,4
3,5,55,57,0,0,5
3,7,53,57,0,0,6
3,10,50,56,0,0,7
4,12,43,52,0,0,8
4,9,49,56,0,0,9
6,2,47,58,0,0,10
4,3,39,57,0,0,11
8,1,6,57,0,0,12
4,11,140,65,1,1,1
7,1,129,73,0,1,2
5,5,106,69,0,1,3
5,2,108,73,0,0,4
6,12,95,68,0,0,5
6,4,100,71,0,0,6
5,9,99,71,0,0,7
5,10,95,71,0,0,8
6,6,92,71,0,0,9
5,7,95,71,0,0,10
6,8,85,71,0,0,11
5,3,76,71,0,0,12
6,8,140,63,1,1,1
6,10,136,62,0,1,2
9,4,141,67,0,1,3
7,3,139,68,0,0,4
9,13,127,60,0,0,5
6,9,128,60,0,0,6
7,6,135,64,0,0,7
10,2,147,73,0,0,8
10,12,125,63,0,0,9
4,6,82,56,1,1,1
4,1,86,60,0,1,2
6,2,82,58,0,1,3
4,5,77,57,0,0,4
6,12,65,53,0,0,5
4,8,63,55,0,0,6
5,9,59,54,0,0,7
5,11,54,53,0,0,8
5,4,62,57,0,0,9
3,7,57,55,0,0,10
4,3,60,57,0,0,11
8,10,50,53,0,0,12
6,10,95,68,1,1,1
6,1,110,75,0,1,2
8,11,91,67,0,1,3
5,8,93,68,0,0,4
5,9,92,66,0,0,5
5,6,102,69,0,0,6
5,5,102,71,0,0,7
8,3,105,74,0,0,8
5,12,85,63,0,0,9
6,4,100,73,0,0,10
6,7,75,73,0,0,11
9,2,58,73,0,0,12
9,10,151,66,1,1,1
7,2,167,73,0,1,2
8,8,159,69,0,1,3
7,9,152,68,0,0,4
8,5,153,71,0,0,5
8,3,150,72,0,0,6
6,4,141,72,0,0,7
7,1,138,75,0,0,8
10,7,93,69,0,0,9
7,11,78,64,0,0,10
3,8,82,57,1,1,1
5,5,82,58,0,1,2
5,3,82,59,0,1,3
4,2,77,58,0,0,4
5,9,68,56,0,0,5
4,10,57,53,0,0,6
8,11,54,54,0,0,7
4,1,64,60,0,0,8
6,12,48,53,0,0,9
4,6,58,57,0,0,10
4,4,60,58,0,0,11
4,7,42,57,0,0,12
7,7,62,58,1,1,1
7,5,63,59,0,1,2
5,6,61,59,0,1,3
6,14,52,55,0,0,4
5,11,55,55,0,0,5
6,4,58,59,0,0,6
5,3,57,57,0,0,7
9,9,47,56,0,0,8
4,12,42,57,0,0,9
7,1,44,60,0,0,10
5,8,38,58,0,0,11
8,4,116,73,1,1,1
8,1,119,74,0,1,2
5,3,88,75,0,1,3
8,6,83,72,0,0,4
11,10,71,70,0,0,5
12,11,59,62,0,0,6
8,12,43,63,0,0,7
8,5,54,73,0,0,8
11,7,46,73,0,0,9
7,10,100,54,1,1,1
11,3,102,58,0,1,2
6,6,94,55,0,1,3
7,2,101,59,0,0,4
4,7,92,55,0,0,5
8,9,90,55,0,0,6
7,5,92,57,0,0,7
7,8,82,55,0,0,8
4,1,89,59,0,0,9
9,4,69,57,0,0,10
6,11,62,54,0,0,11
4,12,0,53,0,0,12
4,8,103,53,1,1,1
4,6,112,58,0,1,2
5,10,103,57,0,1,3
10,4,94,53,0,0,4
6,2,107,59,0,0,5
5,5,105,58,0,0,6
7,11,94,54,0,0,7
6,7,103,58,0,0,8
5,1,90,53,0,0,9
5,3,98,58,0,0,10
6,9,82,53,0,0,11
6,12,72,53,0,0,12
4,1,71,59,1,1,1
4,2,69,58,0,1,2
4,8,59,54,0,1,3
4,6,60,55,0,0,4
4,9,54,53,0,0,5
4,4,62,58,0,0,6
4,5,56,57,0,0,7
4,7,49,53,0,0,8
4,10,46,53,0,0,9
4,11,45,52,0,0,10
4,12,32,50,0,0,11
4,3,23,58,0,0,12
3,3,90,58,1,1,1
3,1,85,59,0,1,2
3,2,79,59,0,1,3
3,9,64,54,0,0,4
3,4,64,55,0,0,5
3,7,61,54,0,0,6
3,5,63,55,0,0,7
3,11,57,50,0,0,7
3,12,52,48,0,0,9
3,6,57,54,0,0,10
3,8,51,54,0,0,11
3,10,24,52,0,0,12
4,1,72,61,1,1,1
4,2,69,60,0,1,2
6,3,59,59,0,1,3
5,8,50,53,0,0,4
7,5,51,55,0,0,5
4,6,46,58,0,0,6
5,10,38,54,0,0,7
4,4,44,58,0,0,8
4,11,24,53,0,0,9
4,12,20,53,0,0,10
4,13,0,53,0,0,11
5,9,0,54,0,0,12
4,1,73,61,1,1,1
4,5,61,58,0,1,2
5,7,50,58,0,1,3
4,6,49,58,0,0,4
7,10,37,54,0,0,5
5,3,43,60,0,0,6
8,4,38,59,0,0,7
10,8,32,56,0,0,8
4,13,15,53,0,0,9
4,9,16,55,0,0,10
4,11,0,51,0,0,11
5,12,0,53,0,0,12
6,9,64,53,1,1,1
5,6,63,54,0,1,2
4,8,60,57,0,1,3
5,5,62,58,0,0,4
5,3,64,59,0,0,5
8,4,59,58,0,0,6
5,11,43,53,0,0,7
4,7,43,57,0,0,8
6,1,47,60,0,0,9
5,2,36,59,0,0,10
5,12,19,53,0,0,11
4,10,14,56,0,0,12
3,9,69,58,1,1,1
3,3,69,58,0,1,2
3,11,65,58,0,1,3
3,1,63,58,0,0,4
3,10,63,58,0,0,5
3,2,59,58,0,0,6
3,8,59,58,0,0,7
3,12,52,58,0,0,8
3,4,49,58,0,0,9
3,5,37,55,0,0,10
3,14,29,54,0,0,11
3,13,4,55,0,0,12
3,6,77,57,1,1,1
3,8,77,57,0,1,2
3,10,69,57,0,1,3
3,5,57,57,0,0,4
3,4,53,57,0,0,5
3,9,53,57,0,0,6
3,1,51,57,0,0,7
3,14,46,53,0,0,8
3,16,50,57,0,0,9
3,11,46,57,0,0,10
3,2,25,57,0,0,11
3,7,0,57,0,0,12
6,4,83,59,1,1,1
9,1,85,61,0,1,2
4,3,76,59,0,1,3
8,5,72,58,0,0,4
4,2,76,60,0,0,5
7,12,60,53,0,0,6
5,9,61,54,0,0,7
4,6,67,57,0,0,8
4,7,58,55,0,0,9
7,8,57,55,0,0,10
4,11,44,54,0,0,11
5,10,27,54,0,0,12
5,1,103,67,1,1,1
4,12,85,62,0,1,2
5,2,96,65,0,1,3
6,5,95,66,0,0,4
5,9,93,65,0,0,5
5,3,90,65,0,0,6
4,10,76,60,0,0,7
4,11,67,63,0,0,8
6,8,70,67,0,0,9
6,7,62,66,0,0,10
5,6,42,65,0,0,11
5,4,29,67,0,0,12
4,9,56,57,1,1,1
4,13,55,57,0,1,2
4,14,52,57,0,1,3
6,3,48,58,0,0,4
4,10,48,57,0,0,5
5,8,45,58,0,0,6
4,12,45,57,0,0,7
4,11,42,57,0,0,8
5,2,40,58,0,0,9
5,6,36,58,0,0,10
5,7,31,56,0,0,11
6,5,23,55,0,0,12
6,4,53,59,1,1,1
4,1,52,60,0,1,2
6,8,41,57,0,1,3
4,2,39,60,0,0,4
6,3,38,58,0,0,5
5,6,33,58,0,0,6
5,5,32,59,0,0,7
5,12,14,51,0,0,8
5,10,17,54,0,0,9
5,7,17,58,0,0,10
6,9,0,55,0,0,11
4,11,0,53,0,0,12
6,2,96,59,1,1,1
7,10,82,54,0,1,2
4,3,88,59,0,1,3
4,11,74,54,0,0,4
5,1,86,60,0,0,5
4,9,71,55,0,0,6
5,7,76,57,0,0,7
4,8,70,55,0,0,8
6,6,77,58,0,0,9
6,12,59,52,0,0,10
5,4,71,58,0,0,11
